combinacion,accuracy,f1,precision,recall
('fixed_acidity', 'citric_acid', 'chlorides', 'free_sulfur_dioxide'),0.4710059171597633,0.3772655828154707,0.4241313487919822,0.4710059171597633
('fixed_acidity', 'citric_acid', 'chlorides', 'total_sulfur_dioxide'),0.4556213017751479,0.3738292780486459,0.37331462295727524,0.4556213017751479
('fixed_acidity', 'citric_acid', 'chlorides', 'density'),0.4757396449704142,0.4105603553634067,0.4341077203543586,0.4757396449704142
('fixed_acidity', 'citric_acid', 'chlorides', 'pH'),0.4591715976331361,0.36161100394815354,0.37064357575183143,0.4591715976331361
('fixed_acidity', 'citric_acid', 'chlorides', 'sulphates'),0.46153846153846156,0.369654151740429,0.42291322878305126,0.46153846153846156
('fixed_acidity', 'citric_acid', 'chlorides', 'alcohol'),0.5230769230769231,0.48491119692660606,0.4787874297750188,0.5230769230769231
('fixed_acidity', 'citric_acid', 'free_sulfur_dioxide', 'total_sulfur_dioxide'),0.46272189349112425,0.36313422531129347,0.35818917151690793,0.46272189349112425
('fixed_acidity', 'citric_acid', 'free_sulfur_dioxide', 'density'),0.463905325443787,0.39772370107001653,0.4213383016445497,0.463905325443787
('fixed_acidity', 'citric_acid', 'free_sulfur_dioxide', 'pH'),0.4556213017751479,0.33435011472025233,0.3479883045493905,0.4556213017751479
('fixed_acidity', 'citric_acid', 'free_sulfur_dioxide', 'sulphates'),0.45207100591715976,0.33346581466982805,0.3381701375547529,0.45207100591715976
('fixed_acidity', 'citric_acid', 'free_sulfur_dioxide', 'alcohol'),0.5313609467455621,0.49180689053077986,0.48601688071122406,0.5313609467455621
('fixed_acidity', 'citric_acid', 'total_sulfur_dioxide', 'density'),0.4662721893491124,0.3977656526802826,0.41100353162646697,0.4662721893491124
('fixed_acidity', 'citric_acid', 'total_sulfur_dioxide', 'pH'),0.44733727810650886,0.33927239517516367,0.33061677131583134,0.44733727810650886
('fixed_acidity', 'citric_acid', 'total_sulfur_dioxide', 'sulphates'),0.4544378698224852,0.34969051927093886,0.34146718146718147,0.4544378698224852
('fixed_acidity', 'citric_acid', 'total_sulfur_dioxide', 'alcohol'),0.5230769230769231,0.48370997120628134,0.4768367085014752,0.5230769230769231
('fixed_acidity', 'citric_acid', 'density', 'pH'),0.4887573964497041,0.43386506433439065,0.4640726917789222,0.4887573964497041
('fixed_acidity', 'citric_acid', 'density', 'sulphates'),0.4710059171597633,0.4079984194392586,0.41981463015264564,0.4710059171597633
('fixed_acidity', 'citric_acid', 'density', 'alcohol'),0.527810650887574,0.4906614032401396,0.4831947208754699,0.527810650887574
('fixed_acidity', 'citric_acid', 'pH', 'sulphates'),0.4532544378698225,0.33644227576629354,0.3425564819795589,0.4532544378698225
('fixed_acidity', 'citric_acid', 'pH', 'alcohol'),0.5230769230769231,0.4867474595208974,0.4785377332284539,0.5230769230769231
('fixed_acidity', 'citric_acid', 'sulphates', 'alcohol'),0.5289940828402366,0.4893134552928061,0.48098900180722576,0.5289940828402366
('fixed_acidity', 'residual_sugar', 'chlorides', 'free_sulfur_dioxide'),0.46272189349112425,0.36938203364927413,0.4201549345557999,0.46272189349112425
('fixed_acidity', 'residual_sugar', 'chlorides', 'total_sulfur_dioxide'),0.4556213017751479,0.37512044447893184,0.38369923939078865,0.4556213017751479
('fixed_acidity', 'residual_sugar', 'chlorides', 'density'),0.46153846153846156,0.39494068937859034,0.4226826338522861,0.46153846153846156
('fixed_acidity', 'residual_sugar', 'chlorides', 'pH'),0.4591715976331361,0.3655025252581237,0.4072558888208755,0.4591715976331361
('fixed_acidity', 'residual_sugar', 'chlorides', 'sulphates'),0.4556213017751479,0.3663984731494137,0.38889854577828575,0.4556213017751479
('fixed_acidity', 'residual_sugar', 'chlorides', 'alcohol'),0.5289940828402366,0.48978690122750196,0.481955939472938,0.5289940828402366
('fixed_acidity', 'residual_sugar', 'free_sulfur_dioxide', 'total_sulfur_dioxide'),0.4591715976331361,0.3341085083974825,0.35334997344067254,0.4591715976331361
('fixed_acidity', 'residual_sugar', 'free_sulfur_dioxide', 'density'),0.4544378698224852,0.38816243605842765,0.40968548671298416,0.4544378698224852
('fixed_acidity', 'residual_sugar', 'free_sulfur_dioxide', 'pH'),0.44970414201183434,0.29858747567393573,0.33517176538927873,0.44970414201183434
('fixed_acidity', 'residual_sugar', 'free_sulfur_dioxide', 'sulphates'),0.45207100591715976,0.3100900873634448,0.3391510204479682,0.45207100591715976
('fixed_acidity', 'residual_sugar', 'free_sulfur_dioxide', 'alcohol'),0.5230769230769231,0.4838040720769313,0.4787503249371054,0.5230769230769231
('fixed_acidity', 'residual_sugar', 'total_sulfur_dioxide', 'density'),0.47692307692307695,0.4177179892843067,0.4258679712212604,0.47692307692307695
('fixed_acidity', 'residual_sugar', 'total_sulfur_dioxide', 'pH'),0.4544378698224852,0.30415482146107115,0.37749345501399273,0.4544378698224852
('fixed_acidity', 'residual_sugar', 'total_sulfur_dioxide', 'sulphates'),0.450887573964497,0.30616271582189036,0.33658285843213465,0.450887573964497
('fixed_acidity', 'residual_sugar', 'total_sulfur_dioxide', 'alcohol'),0.5266272189349113,0.48732563736343093,0.47999825906815624,0.5266272189349113
('fixed_acidity', 'residual_sugar', 'density', 'pH'),0.4958579881656805,0.45092797755709385,0.45935279626883135,0.4958579881656805
('fixed_acidity', 'residual_sugar', 'density', 'sulphates'),0.4804733727810651,0.4249450149203552,0.4282517820376076,0.4804733727810651
('fixed_acidity', 'residual_sugar', 'density', 'alcohol'),0.5289940828402366,0.4906388588844274,0.4821163040828349,0.5289940828402366
('fixed_acidity', 'residual_sugar', 'pH', 'sulphates'),0.44733727810650886,0.30091109405560645,0.3240832032526228,0.44733727810650886
('fixed_acidity', 'residual_sugar', 'pH', 'alcohol'),0.5254437869822485,0.48815420031034806,0.4819478475196186,0.5254437869822485
('fixed_acidity', 'residual_sugar', 'sulphates', 'alcohol'),0.5289940828402366,0.4889971939494761,0.4825233515821781,0.5289940828402366
('fixed_acidity', 'chlorides', 'free_sulfur_dioxide', 'total_sulfur_dioxide'),0.4662721893491124,0.38554281147041464,0.3972623280269002,0.4662721893491124
('fixed_acidity', 'chlorides', 'free_sulfur_dioxide', 'density'),0.46153846153846156,0.394624483654584,0.41133717199483494,0.46153846153846156
('fixed_acidity', 'chlorides', 'free_sulfur_dioxide', 'pH'),0.45207100591715976,0.35690979434010156,0.4124507456166236,0.45207100591715976
('fixed_acidity', 'chlorides', 'free_sulfur_dioxide', 'sulphates'),0.45798816568047335,0.36783533387423567,0.39561545110032575,0.45798816568047335
('fixed_acidity', 'chlorides', 'free_sulfur_dioxide', 'alcohol'),0.527810650887574,0.48970462670196796,0.48544947166087454,0.527810650887574
('fixed_acidity', 'chlorides', 'total_sulfur_dioxide', 'density'),0.46745562130177515,0.4064230297258181,0.41391140900286866,0.46745562130177515
('fixed_acidity', 'chlorides', 'total_sulfur_dioxide', 'pH'),0.45798816568047335,0.3748349095628323,0.39420227606253616,0.45798816568047335
('fixed_acidity', 'chlorides', 'total_sulfur_dioxide', 'sulphates'),0.46153846153846156,0.3845431116040844,0.38824709722789486,0.46153846153846156
('fixed_acidity', 'chlorides', 'total_sulfur_dioxide', 'alcohol'),0.5289940828402366,0.4894787931620147,0.48385570249650256,0.5289940828402366
('fixed_acidity', 'chlorides', 'density', 'pH'),0.4970414201183432,0.44218918659119577,0.46840564691796793,0.4970414201183432
('fixed_acidity', 'chlorides', 'density', 'sulphates'),0.48284023668639053,0.41964900640371244,0.4318994074862276,0.48284023668639053
('fixed_acidity', 'chlorides', 'density', 'alcohol'),0.5254437869822485,0.4873484988270989,0.47939735962158886,0.5254437869822485
('fixed_acidity', 'chlorides', 'pH', 'sulphates'),0.4603550295857988,0.36671375506056547,0.407140797334389,0.4603550295857988
('fixed_acidity', 'chlorides', 'pH', 'alcohol'),0.5337278106508876,0.4990036668539191,0.4925462898479396,0.5337278106508876
('fixed_acidity', 'chlorides', 'sulphates', 'alcohol'),0.5396449704142012,0.5030542790514567,0.494290961009811,0.5396449704142012
('fixed_acidity', 'free_sulfur_dioxide', 'total_sulfur_dioxide', 'density'),0.47337278106508873,0.4075638833804362,0.42450769832368623,0.47337278106508873
('fixed_acidity', 'free_sulfur_dioxide', 'total_sulfur_dioxide', 'pH'),0.45798816568047335,0.33463266168590095,0.35086633287816726,0.45798816568047335
('fixed_acidity', 'free_sulfur_dioxide', 'total_sulfur_dioxide', 'sulphates'),0.45207100591715976,0.3309806826833148,0.3405851914523432,0.45207100591715976
('fixed_acidity', 'free_sulfur_dioxide', 'total_sulfur_dioxide', 'alcohol'),0.5218934911242603,0.4837416263810416,0.4800427486830295,0.5218934911242603
('fixed_acidity', 'free_sulfur_dioxide', 'density', 'pH'),0.493491124260355,0.4374043866209475,0.4711758721054257,0.493491124260355
('fixed_acidity', 'free_sulfur_dioxide', 'density', 'sulphates'),0.4840236686390533,0.41921809520145453,0.4303963639742842,0.4840236686390533
('fixed_acidity', 'free_sulfur_dioxide', 'density', 'alcohol'),0.5207100591715976,0.4823303312700307,0.4776707540509723,0.5207100591715976
('fixed_acidity', 'free_sulfur_dioxide', 'pH', 'sulphates'),0.44970414201183434,0.30725660258280707,0.3301138815544064,0.44970414201183434
('fixed_acidity', 'free_sulfur_dioxide', 'pH', 'alcohol'),0.5289940828402366,0.4910109984639933,0.4868802906137956,0.5289940828402366
('fixed_acidity', 'free_sulfur_dioxide', 'sulphates', 'alcohol'),0.5325443786982249,0.49361768645472714,0.4913198464939927,0.5325443786982249
('fixed_acidity', 'total_sulfur_dioxide', 'density', 'pH'),0.48284023668639053,0.42145000814709294,0.45991783572337963,0.48284023668639053
('fixed_acidity', 'total_sulfur_dioxide', 'density', 'sulphates'),0.47692307692307695,0.40956896479361604,0.4222767203680518,0.47692307692307695
('fixed_acidity', 'total_sulfur_dioxide', 'density', 'alcohol'),0.5183431952662721,0.4800365014052983,0.4726959211077083,0.5183431952662721
('fixed_acidity', 'total_sulfur_dioxide', 'pH', 'sulphates'),0.450887573964497,0.30616271582189036,0.33658285843213465,0.450887573964497
('fixed_acidity', 'total_sulfur_dioxide', 'pH', 'alcohol'),0.5195266272189349,0.48201716378041826,0.47622087483408865,0.5195266272189349
('fixed_acidity', 'total_sulfur_dioxide', 'sulphates', 'alcohol'),0.5195266272189349,0.48017035913201667,0.47375432470010015,0.5195266272189349
('fixed_acidity', 'density', 'pH', 'sulphates'),0.4816568047337278,0.4229277034494035,0.45669464860999753,0.4816568047337278
('fixed_acidity', 'density', 'pH', 'alcohol'),0.5254437869822485,0.48798085615120157,0.48184177495918395,0.5254437869822485
('fixed_acidity', 'density', 'sulphates', 'alcohol'),0.5301775147928994,0.493830461629238,0.48741743424278533,0.5301775147928994
('fixed_acidity', 'pH', 'sulphates', 'alcohol'),0.5254437869822485,0.48715078038352444,0.47991990690792835,0.5254437869822485
('volatile_acidity', 'citric_acid', 'residual_sugar', 'chlorides'),0.4757396449704142,0.39048057888329263,0.44165800432799923,0.4757396449704142
('volatile_acidity', 'citric_acid', 'residual_sugar', 'free_sulfur_dioxide'),0.4757396449704142,0.38049639597426604,0.35765698250905353,0.4757396449704142
('volatile_acidity', 'citric_acid', 'residual_sugar', 'total_sulfur_dioxide'),0.4804733727810651,0.39383958463420266,0.36598815773699495,0.4804733727810651
('volatile_acidity', 'citric_acid', 'residual_sugar', 'density'),0.4816568047337278,0.4191487751209249,0.4492201350911151,0.4816568047337278
('volatile_acidity', 'citric_acid', 'residual_sugar', 'pH'),0.4710059171597633,0.38113598757568523,0.35052357147141056,0.4710059171597633
('volatile_acidity', 'citric_acid', 'residual_sugar', 'sulphates'),0.4650887573964497,0.3739007874859463,0.3412148689169294,0.4650887573964497
('volatile_acidity', 'citric_acid', 'residual_sugar', 'alcohol'),0.5289940828402366,0.4881241077782123,0.48359435642208126,0.5289940828402366
('volatile_acidity', 'citric_acid', 'chlorides', 'free_sulfur_dioxide'),0.47218934911242605,0.3838899692948892,0.40548698362463553,0.47218934911242605
('volatile_acidity', 'citric_acid', 'chlorides', 'total_sulfur_dioxide'),0.4804733727810651,0.4059089682574854,0.40337471923547047,0.4804733727810651
('volatile_acidity', 'citric_acid', 'chlorides', 'density'),0.47928994082840237,0.4127564907719439,0.4369021822915169,0.47928994082840237
('volatile_acidity', 'citric_acid', 'chlorides', 'pH'),0.46982248520710057,0.38950608642916335,0.442060813046874,0.46982248520710057
('volatile_acidity', 'citric_acid', 'chlorides', 'sulphates'),0.4804733727810651,0.3955176878594221,0.4284595302628293,0.4804733727810651
('volatile_acidity', 'citric_acid', 'chlorides', 'alcohol'),0.527810650887574,0.4906329178306921,0.48291930070327344,0.527810650887574
