combinacion,accuracy,f1,precision,recall
('fixed_acidity', 'citric_acid', 'chlorides', 'free_sulfur_dioxide'),0.4686390532544379,0.4397017318599931,0.43382028890495267,0.4686390532544379
('fixed_acidity', 'citric_acid', 'chlorides', 'total_sulfur_dioxide'),0.47692307692307695,0.451023765156029,0.44959194412395237,0.47692307692307695
('fixed_acidity', 'citric_acid', 'chlorides', 'density'),0.4686390532544379,0.4402546692742182,0.4291094496411455,0.4686390532544379
('fixed_acidity', 'citric_acid', 'chlorides', 'pH'),0.45680473372781066,0.4245176016484007,0.41471262104841194,0.45680473372781066
('fixed_acidity', 'citric_acid', 'chlorides', 'sulphates'),0.4686390532544379,0.43328780261114924,0.42487717190347224,0.4686390532544379
('fixed_acidity', 'citric_acid', 'chlorides', 'alcohol'),0.49230769230769234,0.46550778196846776,0.45451701966125047,0.49230769230769234
('fixed_acidity', 'citric_acid', 'free_sulfur_dioxide', 'total_sulfur_dioxide'),0.47810650887573963,0.43840486785172844,0.4350003300513031,0.47810650887573963
('fixed_acidity', 'citric_acid', 'free_sulfur_dioxide', 'density'),0.4816568047337278,0.4525059460563448,0.4533971779838449,0.4816568047337278
('fixed_acidity', 'citric_acid', 'free_sulfur_dioxide', 'pH'),0.45680473372781066,0.4111424431570334,0.43507843982042027,0.45680473372781066
('fixed_acidity', 'citric_acid', 'free_sulfur_dioxide', 'sulphates'),0.46982248520710057,0.42349623462894126,0.4391795880271566,0.46982248520710057
('fixed_acidity', 'citric_acid', 'free_sulfur_dioxide', 'alcohol'),0.5112426035502958,0.4827477517775271,0.47387681337581106,0.5112426035502958
('fixed_acidity', 'citric_acid', 'total_sulfur_dioxide', 'density'),0.4804733727810651,0.45381175261692697,0.44337125142831557,0.4804733727810651
('fixed_acidity', 'citric_acid', 'total_sulfur_dioxide', 'pH'),0.4710059171597633,0.4333880318995608,0.42691676905332093,0.4710059171597633
('fixed_acidity', 'citric_acid', 'total_sulfur_dioxide', 'sulphates'),0.48284023668639053,0.4485296129897785,0.4728303163698444,0.48284023668639053
('fixed_acidity', 'citric_acid', 'total_sulfur_dioxide', 'alcohol'),0.5088757396449705,0.48183933093110326,0.4722548516413611,0.5088757396449705
('fixed_acidity', 'citric_acid', 'density', 'pH'),0.47218934911242605,0.4441516504389817,0.43600397040138705,0.47218934911242605
('fixed_acidity', 'citric_acid', 'density', 'sulphates'),0.4686390532544379,0.4389297649871891,0.4282213322937305,0.4686390532544379
('fixed_acidity', 'citric_acid', 'density', 'alcohol'),0.5195266272189349,0.49126590399217374,0.48016543609697265,0.5195266272189349
('fixed_acidity', 'citric_acid', 'pH', 'sulphates'),0.47337278106508873,0.4304807622733536,0.43931903547957063,0.47337278106508873
('fixed_acidity', 'citric_acid', 'pH', 'alcohol'),0.5017751479289941,0.4740503113435289,0.46411135172457074,0.5017751479289941
('fixed_acidity', 'citric_acid', 'sulphates', 'alcohol'),0.5076923076923077,0.4793870893367604,0.46707766909921206,0.5076923076923077
('fixed_acidity', 'residual_sugar', 'chlorides', 'free_sulfur_dioxide'),0.450887573964497,0.41859347548087156,0.41512563437177796,0.450887573964497
('fixed_acidity', 'residual_sugar', 'chlorides', 'total_sulfur_dioxide'),0.493491124260355,0.46192538530178645,0.45229357562659167,0.493491124260355
('fixed_acidity', 'residual_sugar', 'chlorides', 'density'),0.46272189349112425,0.4384049516764536,0.42814724811062965,0.46272189349112425
('fixed_acidity', 'residual_sugar', 'chlorides', 'pH'),0.47455621301775147,0.4392179296053254,0.43072330519904783,0.47455621301775147
('fixed_acidity', 'residual_sugar', 'chlorides', 'sulphates'),0.45798816568047335,0.4248834560629434,0.4155253692006108,0.45798816568047335
('fixed_acidity', 'residual_sugar', 'chlorides', 'alcohol'),0.5195266272189349,0.4928132064451386,0.4794977537759542,0.5195266272189349
('fixed_acidity', 'residual_sugar', 'free_sulfur_dioxide', 'total_sulfur_dioxide'),0.4816568047337278,0.44501301857421455,0.45364804631953337,0.4816568047337278
('fixed_acidity', 'residual_sugar', 'free_sulfur_dioxide', 'density'),0.4804733727810651,0.46049118834310354,0.4545951345022563,0.4804733727810651
('fixed_acidity', 'residual_sugar', 'free_sulfur_dioxide', 'pH'),0.46745562130177515,0.42286044500269715,0.4242210843257963,0.46745562130177515
('fixed_acidity', 'residual_sugar', 'free_sulfur_dioxide', 'sulphates'),0.4863905325443787,0.4406502345572165,0.4631672356023815,0.4863905325443787
('fixed_acidity', 'residual_sugar', 'free_sulfur_dioxide', 'alcohol'),0.5301775147928994,0.5068394833186152,0.5156739751203037,0.5301775147928994
('fixed_acidity', 'residual_sugar', 'total_sulfur_dioxide', 'density'),0.506508875739645,0.4821479035398187,0.4689548498762754,0.506508875739645
('fixed_acidity', 'residual_sugar', 'total_sulfur_dioxide', 'pH'),0.47692307692307695,0.433541796526111,0.43185037090521466,0.47692307692307695
('fixed_acidity', 'residual_sugar', 'total_sulfur_dioxide', 'sulphates'),0.5005917159763313,0.46112734570408453,0.46153932548239207,0.5005917159763313
('fixed_acidity', 'residual_sugar', 'total_sulfur_dioxide', 'alcohol'),0.5183431952662721,0.49311214672901066,0.47730788961968745,0.5183431952662721
('fixed_acidity', 'residual_sugar', 'density', 'pH'),0.49467455621301776,0.4692554870574833,0.4558928511803374,0.49467455621301776
('fixed_acidity', 'residual_sugar', 'density', 'sulphates'),0.49940828402366866,0.47216091167526425,0.46301156762090906,0.49940828402366866
('fixed_acidity', 'residual_sugar', 'density', 'alcohol'),0.5218934911242603,0.49431434404868063,0.48020350625169367,0.5218934911242603
('fixed_acidity', 'residual_sugar', 'pH', 'sulphates'),0.4686390532544379,0.42755494660072346,0.42845563418837024,0.4686390532544379
('fixed_acidity', 'residual_sugar', 'pH', 'alcohol'),0.5124260355029586,0.484791186873316,0.4677292100489104,0.5124260355029586
('fixed_acidity', 'residual_sugar', 'sulphates', 'alcohol'),0.48520710059171596,0.45862676088962895,0.442333815931041,0.48520710059171596
('fixed_acidity', 'chlorides', 'free_sulfur_dioxide', 'total_sulfur_dioxide'),0.48757396449704143,0.45916455064267747,0.45458580675957605,0.48757396449704143
('fixed_acidity', 'chlorides', 'free_sulfur_dioxide', 'density'),0.46272189349112425,0.43661586495445887,0.4409809986851722,0.46272189349112425
('fixed_acidity', 'chlorides', 'free_sulfur_dioxide', 'pH'),0.4710059171597633,0.4411093961028012,0.4487555836668262,0.4710059171597633
('fixed_acidity', 'chlorides', 'free_sulfur_dioxide', 'sulphates'),0.4591715976331361,0.4289192644498318,0.4359972806223209,0.4591715976331361
('fixed_acidity', 'chlorides', 'free_sulfur_dioxide', 'alcohol'),0.5183431952662721,0.4923712768232662,0.49103504351681676,0.5183431952662721
('fixed_acidity', 'chlorides', 'total_sulfur_dioxide', 'density'),0.4958579881656805,0.4736945079790884,0.459815190328957,0.4958579881656805
('fixed_acidity', 'chlorides', 'total_sulfur_dioxide', 'pH'),0.4804733727810651,0.4471945414282545,0.44357114850523366,0.4804733727810651
('fixed_acidity', 'chlorides', 'total_sulfur_dioxide', 'sulphates'),0.49940828402366866,0.4642722246641351,0.454528034244289,0.49940828402366866
('fixed_acidity', 'chlorides', 'total_sulfur_dioxide', 'alcohol'),0.5242603550295858,0.4988244955076289,0.48658111023531714,0.5242603550295858
